48	0.282898	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
49	0.285518	100.64.0.1	100.64.0.2	26065	38	1448	5201,46820
50	0.285533	100.64.0.1	100.64.0.2	27513	38	1448	5201,46820
51	0.288530	100.64.0.1	100.64.0.2	28961	38	1448	5201,46820
52	0.288541	100.64.0.1	100.64.0.2	30409	38	1448	5201,46820
53	0.291544	100.64.0.1	100.64.0.2	31857	38	1448	5201,46820
54	0.291553	100.64.0.1	100.64.0.2	33305	38	1448	5201,46820
55	0.294562	100.64.0.1	100.64.0.2	34753	38	1448	5201,46820
56	0.294570	100.64.0.1	100.64.0.2	36201	38	1448	5201,46820
57	0.297603	100.64.0.1	100.64.0.2	37649	38	1448	5201,46820
58	0.297609	100.64.0.1	100.64.0.2	39097	38	1448	5201,46820
59	0.317513	100.64.0.2	100.64.0.1	176	5	0	46818,5201
60	0.318626	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
61	0.318642	100.64.0.1	100.64.0.2	13033	38	1448	5201,46820
62	0.318653	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
63	0.319431	100.64.0.1	100.64.0.2	40545	38	1448	5201,46820
64	0.319817	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
65	0.320633	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
66	0.320988	100.64.0.1	100.64.0.2	41993	38	1448	5201,46820
67	0.320993	100.64.0.1	100.64.0.2	43441	38	1448	5201,46820
68	0.322875	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
69	0.322887	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
70	0.324014	100.64.0.1	100.64.0.2	44889	38	1448	5201,46820
71	0.325523	100.64.0.1	100.64.0.2	46337	38	1448	5201,46820
72	0.326041	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
73	0.326055	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
74	0.326978	100.64.0.1	100.64.0.2	47785	38	1448	5201,46820
75	0.326983	100.64.0.1	100.64.0.2	49233	38	1448	5201,46820
76	0.327126	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
77	0.329409	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
78	0.330048	100.64.0.1	100.64.0.2	50681	38	1448	5201,46820
79	0.330056	100.64.0.1	100.64.0.2	52129	38	1448	5201,46820
80	0.332701	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
81	0.333051	100.64.0.1	100.64.0.2	53577	38	1448	5201,46820
82	0.333846	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
83	0.334541	100.64.0.1	100.64.0.2	55025	38	1448	5201,46820
84	0.336112	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
85	0.336150	100.64.0.1	100.64.0.2	56473	38	1448	5201,46820
86	0.336157	100.64.0.1	100.64.0.2	57921	38	1448	5201,46820
87	0.338252	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
88	0.339071	100.64.0.1	100.64.0.2	59369	38	1448	5201,46820
89	0.339079	100.64.0.1	100.64.0.2	60817	38	1448	5201,46820
90	0.340434	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
91	0.341698	100.64.0.2	100.64.0.1	38	13033	0	46820,5201
92	0.341795	100.64.0.1	100.64.0.2	62265	38	1448	5201,46820
93	0.341802	100.64.0.1	100.64.0.2	63713	38	1448	5201,46820
94	0.360714	100.64.0.2	100.64.0.1	38	40545	0	46820,5201
95	0.360766	100.64.0.1	100.64.0.2	65161	38	1448	5201,46820
96	0.360779	100.64.0.1	100.64.0.2	66609	38	1448	5201,46820
97	0.363827	100.64.0.2	100.64.0.1	38	43441	0	46820,5201
98	0.363870	100.64.0.1	100.64.0.2	68057	38	1448	5201,46820
99	0.363880	100.64.0.1	100.64.0.2	69505	38	1448	5201,46820
100	0.364733	100.64.0.1	100.64.0.2	70953	38	1448	5201,46820
101	0.364747	100.64.0.1	100.64.0.2	72401	38	1448	5201,46820
102	0.367808	100.64.0.2	100.64.0.1	38	46337	0	46820,5201
103	0.367850	100.64.0.1	100.64.0.2	73849	38	1448	5201,46820
104	0.367864	100.64.0.1	100.64.0.2	75297	38	1448	5201,46820
105	0.368756	100.64.0.1	100.64.0.2	76745	38	1448	5201,46820
106	0.369620	100.64.0.1	100.64.0.2	78193	38	1448	5201,46820
107	0.369634	100.64.0.1	100.64.0.2	79641	38	1448	5201,46820
108	0.370031	100.64.0.2	100.64.0.1	38	49233	0	46820,5201
109	0.371313	100.64.0.1	100.64.0.2	81089	38	1448	5201,46820
110	0.371329	100.64.0.1	100.64.0.2	82537	38	1448	5201,46820
111	0.372211	100.64.0.2	100.64.0.1	38	52129	0	46820,5201
112	0.373015	100.64.0.1	100.64.0.2	83985	38	1448	5201,46820
113	0.373030	100.64.0.1	100.64.0.2	85433	38	1448	5201,46820
