time,min,max,mean,variance,lossCount,slope,intercept
3.9,0.10050999999999988,0.10425700000000004,0.10204123076923079,9.925406646153732e-07,0,0.006145626077751293,0.07821892503997825
3.95,0.10010600000000025,0.10486100000000009,0.10273091666666677,1.5274045144927553e-06,0,-0.04980567618205456,0.2982541429280153
4.0,0.1009209999999996,0.1057819999999996,0.10353765384615378,1.7531168753845291e-06,0,0.05341313755228591,-0.10877117589853265
4.05,0.10218900000000009,0.10537799999999997,0.10393119999999996,7.819696666665014e-07,0,0.020993367177052105,0.019422212328206817
4.1,0.10214100000000048,0.10489899999999963,0.10369968,6.298688933333977e-07,0,-0.009104183455970725,0.14080343808584542
4.15,0.10243000000000002,0.10625700000000027,0.10444696153846153,9.717845184615348e-07,0,0.02186029701438359,0.014249095019199465
4.2,0.1032409999999997,0.10736499999999971,0.10558229166666666,1.0050090851448045e-06,0,-0.04053414742857988,0.2748021611539866
4.25,0.10292300000000054,0.10717999999999961,0.10527726923076923,1.2475465246152647e-06,0,0.04588715901400785,-0.08860144170511806
4.3,0.10506999999999955,0.10757700000000003,0.10609699999999993,5.425413333334434e-07,0,0.014016065532800052,0.04617351682194293
4.35,0.10444799999999965,0.10870699999999989,0.10704734615384615,1.326738635384796e-06,0,0.050241419457175175,-0.1102567891085462
4.4,0.10440000000000005,0.10892700000000044,0.1066613043478261,1.7846060395256452e-06,0,-0.07289518502036825,0.42556339430726753
4.45,0.10519199999999973,0.10928000000000004,0.10771751851851856,1.3009004900284516e-06,0,0.03630125180158882,-0.05287116326279208
4.5,0.10680700000000076,0.10858100000000004,0.10789784000000005,3.554174733331451e-07,0,0.014396316010266742,0.04346675166427706
4.55,0.10671900000000001,0.11044999999999927,0.10812991999999991,6.882762433332709e-07,0,0.0037991587836189674,0.09093764116044278
4.6,0.10683699999999963,0.11051400000000022,0.10858407999999997,1.251343826666894e-06,0,0.041783419095464465,-0.08257187010853106
4.65,0.10716700000000046,0.11085900000000048,0.10929926923076927,1.1782842046153977e-06,0,-0.03528548062426657,0.2724970491018975
4.7,0.10838000000000036,0.11147799999999997,0.11014543999999994,5.780205899997991e-07,0,0.006080210896764363,0.08171764208169101
4.75,0.10845099999999963,0.11148399999999992,0.10992295999999996,5.816705400000502e-07,0,0.027111436179301892,-0.018191747767354827
4.8,0.10893399999999964,0.1136039999999996,0.11121819230769227,1.6377049615385134e-06,0,0.04742784946062988,-0.11525594901480117
4.85,0.1082869999999998,0.11290400000000034,0.1101118333333333,1.018939275362323e-06,0,-0.03506531542464729,0.2793438394775446
4.9,0.10831999999999997,0.1133159999999993,0.11148153846153841,9.993084984614187e-07,0,0.022359437501117605,0.0024860873723524385
4.95,0.11020999999999948,0.11366000000000032,0.11224488000000005,8.465842766667707e-07,0,-0.018587594638100762,0.2037945717696166
5.0,0.11074499999999965,0.11498800000000031,0.11253115999999991,9.65973056666708e-07,0,0.009038628665919589,0.06756437683280493
5.05,0.11013699999999993,0.1142599999999998,0.11232061538461534,1.5784969661539711e-06,0,0.042134300886636826,-0.09944369075856475
5.1,0.11011599999999966,0.11514399999999991,0.11308128000000024,2.4641138766669556e-06,0,-0.060342009307975404,0.41939400019233647
